name,location,id,lat,lng
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",0,1.2951144,103.8294544
Orgo Bar and Restaurant,"8 Raffles Avenue #04-01 Esplanade Mall Roof Terrace, The Esplanade, Singapore 039802 Singapore",1,1.2896027,103.8558644
Garibaldi Italian Restaurant & Bar,"#01-02 36 Purvis Street, Singapore 188613 Singapore",2,1.2968532,103.8547963
L'Angélus,"85 Club Street, Singapore 069453 Singapore",3,1.2817018,103.8456841
Shin Kushiya - VivoCity,"1 Harbourfront Walk #02-120 VivoCity, Singapore 098585 Singapore",4,1.2644032,103.8222071
Mellben Seafood,"232 Ang Mo Kio Avenue 3 Kebun Baru Palm View, Singapore 560232 Singapore",5,1.3688328,103.8372952
Cali Ascott Raffles Place,"2 Finlayson Green Ascott Singapore Raffles Place, Singapore 049247 Singapore",6,1.2820375,103.85158
Arteastiq Bistro & Bar,"68 Orchard Road Plaza Singapura #03-70/72, Plaza Singapura, Singapore 238839 Singapore",7,1.299511,103.8451378
RAS  The Essence of India,"Block 3D River Valley Road #01-05A Clarke Quay, Singapore 179023 Singapore",8,1.2906024,103.8464742
MTR Singapore,"438 Serangoon Road Opposite Sri Srinivasa Perumal Temple, Singapore 218133 Singapore",9,1.3130167,103.8565232
"The Assembly Ground, The Cathay","2 Handy Road #01-21 the Cathay, Singapore 229233 Singapore",10,1.2995083,103.8477778
Supply and Demand,"8 Raffles Avenue Esplanade Mall Esplanade Mall #01-13 Annexe, Singapore 039802 Singapore",11,1.2899102,103.8564376
Publico Ristorante,"1 Nanson Road Intercontinental Singapore Robertson Quay InterContinental Singapore Robertson Quay, Singapore 238909 Singapore",12,1.2901492,103.8386544
Ah Hoi's Kitchen,"1A Cuscaden Road Hotel Jen Tanglin Singapore Level 4 , Pool Side, Singapore 249716 Singapore",13,1.304358,103.82392
Baba Chews Bar and Eatery,"86 E East Coast Road Katong Square Katong Square, Singapore 428788 Singapore",14,1.3047255,103.9046894
Cugini's,"87 Club Street, Singapore 069455 Singapore",15,1.2817069,103.8456828
Thai Express,"Temasek Boulevard, Singapore Singapore",16,1.2943677,103.8587853
Nanbantei,"14 Scotts Road # 05 Far East Plaza 132, Singapore 228213 Singapore",17,1.3070854,103.8333034
redpan,"6 Raffles Boulevard Marina Square #02-03/04, Singapore 039594 Singapore",18,1.2911534,103.8576778
Nara Thai Singapore,"2 Orchard Turn Ion Orchard Ste #B3-21, Singapore 238801 Singapore",19,1.3039288,103.8319512
Paulaner Bräuhaus Singapore,"9 Raffles Boulevard Millenia Walk #01-01 Millenia Walk, Singapore 039596 Singapore",20,1.2928181,103.8598344
RENNthai,"3D, River Valley Road #01-05, Singapore 179023 Singapore",21,1.295877,103.8397203
Hai Tien Lo,"7 Raffles Boulevard Pan Pacific Hotel Pan Pacific Singapore, Singapore 039595 Singapore",22,1.2924176,103.8585852
La Forketta,"Blk 9 Dempsey Road #01-09 Dempsey Hill, Singapore 247697 Singapore",23,1.3036447,103.8098267
El Mero Mero,"30 Victoria Street #01-20 Chijmes Chijmes, Singapore 187996 Singapore",24,1.2951699,103.8521957
Iggy's,"581 Orchard Road Hilton International Singapore The Hilton Hotel, Singapore 238883 Singapore",25,1.305891,103.82942
Harry's Boat Quay,"28 Boat Quay, Singapore 049818 Singapore",26,1.2858214,103.8497276
Katong Kitchen,"25 Marine Parade Village Hotel Katong Village Hotel Katong Level 4, Singapore 449536 Singapore",27,1.3037177,103.9029408
Islamic Restaurant,"745 North Bridge Road, Singapore 198713 Singapore",28,1.30304,103.859132
La Nonna,"26/26B Lorong Mambong, Singapore 277685 Singapore",29,1.3116818,103.7948547
Khansama Tandoori Restaurant,"166 Serangoon Road Little India Junction of Norris Road, Singapore 218050 Singapore",30,1.3081446,103.8530341
Prive Chijmes,"30 Victoria Street #01-33 Chijmes Chijmes, Singapore 187996 Singapore",31,1.2951699,103.8521957
The Coconut Club,"28 Ann Siang Road, Ann Siang House Ann Siang House, Singapore 069708 Singapore",32,1.2807043,103.8458104
Spize,"131 Rifle Range Road #03-04, Temasek Club, Singapore 588406 Singapore",33,1.346402,103.780639
GRUB,"510 Ang Mo Kio Avenue 1, Singapore 569983 Singapore",34,1.3649527,103.8358516
Senor Taco Clarke Quay,"3 D River Valley Road #01-12 Clarke Quay, Singapore 179023 Singapore",35,1.2906024,103.8464742
No Menu,"23 Boon Tat Street, Singapore 069621 Singapore",36,1.2812809,103.848513
Boomarang Bistro & Bar,"60 Robertson Quay #01-15 the Quayside, Singapore 238252 Singapore",37,1.2897222,103.8388889
Lola's Cafe,"5 Simon Road, Singapore 545893 Singapore",38,1.3616244,103.8859897
Zafferano Italian Restaurant & Lounge,"10 Collyer Quay Ocean Financial Centre Level 43, Singapore 049315 Singapore",39,1.2830496,103.8518791
Shabestan Finest Persian Cuisine,"80 Mohamed Sultan Road The Pier At Robertson #01-13, The Pier At Robertson, Singapore 239013 Singapore",40,1.2918135,103.8406509
Spices Cafe (Concorde Hotel),"100 Orchard Road Concorde Hotel And Shopping Mall, Singapore 238840 Singapore",41,1.3006019,103.8420681
Positano @ RP,"49 Circular Road, Singapore 049404 Singapore",42,1.2859653,103.8495339
Hooters,"Blk 3D River Valley Road #01-03 Shophouse Row, Clarke Quay, Singapore 179023 Singapore",43,1.2906024,103.8464742
The Boiler (Howard Road),"18 Howard Road Novelty Bizcentre #01-06, Singapore 369585 Singapore",44,1.3341869,103.885778
Mitsuba Japanese Restaurant,"6 Eu Tong Sen Street The Central #03-88 Clarke Quay Central, Singapore 059817 Singapore",45,1.2890252,103.8466098
Gayatri Restaurant,"122 Race Course Road, #01-01, Singapore 218583 Singapore",46,1.3096712,103.8519936
Waterfall Ristorante Italiano,"22 Orange Grove Road Shangri-La Hotel Garden Wing, Shangri-La Hotel, Singapore 258350 Singapore",47,1.3112195,103.8263306
Wah Lok,"76 Bras Basah Road Carlton Hotel, Singapore 189558 Singapore",48,1.2960301,103.8527419
The Penny Black Victorian London Pub,"26/27 Boat Quay, Singapore 049817 Singapore",49,1.2858968,103.8499393
